credit.policy,LoanPurpose,int.rate,MonthlyDebtPayments,LogAnnualIncome,dti,fico,LengthOfCreditHistory,revol.bal,CreditCardUtilizationRate,inq.last.6mths,PreviousLoanDefaults,pub.rec,not.fully.paid,HasDefaults,HasBankruptcy,fully.paid
1,Other,0.08,188.02,11.22524339,16.08,772,13,29797,0.2319999999999999,1,0,0,0,0,0,1
1,Other,0.0863,474.42,10.81977828,2.59,797,33,5656,0.276,0,0,0,0,0,0,1
1,Other,0.1355,339.6,11.51292546,7.94,662,5,21162,0.5770000000000001,0,0,0,0,0,0,1
1,Other,0.0788,484.85,11.73606902,7.05,782,15,16931,0.346,1,0,0,0,0,0,1
1,Debt_Consolidation,0.1229,320.19,11.26446411,8.8,672,10,4822,0.581,0,0,1,0,0,1,1
1,Other,0.0901,159.03,12.4292162,10.0,712,4,14354,0.366,0,2,0,0,1,0,1
1,Other,0.0743,155.38,11.08214255,0.28,802,13,1576,0.057,1,0,0,0,0,0,1
1,Debt_Consolidation,0.1375,255.43,9.998797732,14.29,662,4,4175,0.515,0,1,0,0,1,0,1
1,Other,0.0743,155.38,12.20607265,0.28,772,12,3164,0.1369999999999999,0,0,0,0,0,0,1
1,Other,0.0743,155.38,12.20607265,3.72,812,19,85607,0.0069999999999999,0,0,0,0,0,0,1
1,Debt_Consolidation,0.0807,156.84,11.51292546,2.3,742,9,9698,0.1939999999999999,0,0,0,0,0,0,1
1,Other,0.1028,275.38,9.798127037,6.4,692,20,8847,0.2689999999999999,1,1,0,0,1,0,1
1,Home,0.0743,155.38,11.91839057,0.0,777,20,6053,0.195,0,0,0,0,0,0,1
1,Home,0.0807,78.42,11.60823564,11.33,762,17,7274,0.131,0,0,0,0,0,0,1
1,Other,0.087,158.3,11.22524339,15.55,757,13,66033,0.23,0,0,0,0,0,0,1
1,Other,0.0743,155.38,11.46163217,3.83,772,7,3660,0.068,0,0,0,0,0,0,1
1,Other,0.0743,155.38,11.35040654,0.31,787,10,216,0.006,0,0,0,0,0,0,1
1,Other,0.1122,164.23,11.28978191,1.21,672,11,27185,0.161,3,0,1,0,0,1,1
1,Debt_Consolidation,0.0996,161.25,10.77895629,8.03,707,12,28329,0.486,1,0,0,0,0,0,1
1,Home,0.0933,159.77,12.10071213,11.93,717,12,60568,0.392,1,0,0,0,0,0,1
1,Home,0.0807,156.84,12.10071213,5.55,742,11,40934,0.263,0,0,0,0,0,0,1
1,Debt_Consolidation,0.0743,155.38,11.69524702,2.29,777,10,8379,0.1689999999999999,0,0,0,0,0,0,1
1,Other,0.087,94.98,10.1266311,14.54,752,7,3660,0.078,1,0,0,0,0,0,1
1,Home,0.1028,97.2,12.20607265,0.0,677,10,0,0.0,0,1,0,0,1,0,1
1,Other,0.1122,164.23,10.30895266,18.64,702,14,15840,0.471,0,0,0,0,0,0,1
1,Other,0.0838,167.02,11.21182037,14.37,797,15,6844,0.144,0,0,0,0,0,0,1
1,Education,0.0775,168.6,8.987196821,3.0,762,18,1321,0.165,0,0,0,0,0,0,1
1,Other,0.0838,160.72,10.37349118,14.78,772,12,4737,0.239,0,0,0,0,0,0,1
1,Other,0.0901,159.03,11.19821472,9.96,722,8,23489,0.376,0,0,0,0,0,0,1
1,Debt_Consolidation,0.0743,178.69,11.73606902,0.27,792,21,2817,0.102,0,0,0,0,0,0,1
1,Other,0.0743,155.38,10.71441777,1.12,782,16,1783,0.0,1,0,0,0,0,0,1
1,Other,0.1028,323.98,10.217422,10.7,712,4,3534,0.544,0,0,0,0,0,0,1
1,Other,0.1059,813.65,10.77895629,4.05,762,7,2422,0.233,0,0,0,0,0,0,1
1,Education,0.0996,112.87,9.510444964,16.44,712,5,2864,0.411,1,0,0,0,0,0,1
1,Debt_Consolidation,0.1596,94.88,10.86283777,12.57,627,4,3075,0.923,1,0,0,0,0,0,1
1,Other,0.1059,398.69,11.00209984,17.12,747,38,17214,0.081,2,1,0,0,1,0,1
1,Other,0.1154,39.6,9.903487553,2.04,662,3,1153,0.758,2,0,0,0,0,0,1
1,Other,0.1343,678.08,11.88448902,10.15,682,12,41674,0.741,0,0,0,1,0,0,0
1,Other,0.1249,401.37,11.22524339,15.0,682,12,43039,0.934,3,0,0,0,0,0,1
1,Other,0.0964,205.45,11.00209984,7.72,712,6,3362,0.693,0,0,0,0,0,0,1
1,Debt_Consolidation,0.1186,397.75,11.08214255,7.14,682,24,11868,0.7190000000000001,0,2,0,0,1,0,1
1,Other,0.0743,155.38,10.59663473,2.55,772,22,2562,0.14,2,0,0,0,0,0,1
1,Other,0.1028,113.39,9.903487553,1.5,682,4,1882,0.324,0,0,0,0,0,0,1
1,Debt_Consolidation,0.1186,99.44,10.49551521,7.47,667,7,1064,0.7090000000000001,2,0,1,0,0,1,1
1,Other,0.0807,109.79,11.49272276,8.52,752,14,6432,0.06,0,1,0,0,1,0,1
1,Other,0.1059,32.55,10.43382164,14.47,687,3,4485,0.369,1,0,0,1,0,0,0
1,Other,0.0996,112.87,11.26446411,11.06,702,14,16310,0.205,0,1,0,0,1,0,1
1,Debt_Consolidation,0.0964,160.51,11.77528973,8.55,712,16,20969,0.402,0,0,0,0,0,0,1
1,Debt_Consolidation,0.1375,340.57,10.46310334,17.38,707,7,22213,0.659,0,0,0,0,0,0,1
1,Home,0.0775,156.11,12.32385568,6.48,752,15,2160,0.023,1,0,0,0,0,0,1
1,Other,0.0743,155.38,11.15625052,4.56,812,27,813,0.01,0,0,0,0,0,0,1
1,Home,0.0807,235.25,11.91839057,2.72,757,14,23678,0.244,4,0,0,0,0,0,1
1,Debt_Consolidation,0.0996,257.99,10.77895629,15.13,722,7,11289,0.478,3,0,0,0,0,0,1
1,Other,0.1501,225.37,12.26904744,6.45,677,17,56411,0.753,0,0,0,1,0,0,0
1,Home,0.0964,80.26,11.22524339,20.0,772,13,269,0.038,3,0,0,1,0,0,0
1,Home,0.128,84.0,10.37349118,20.0,682,15,3408,0.351,1,0,0,1,0,0,0
1,Debt_Consolidation,0.1122,507.46,10.59663473,13.5,712,15,6513,0.3429999999999999,3,0,1,1,0,1,0
1,Education,0.0743,124.31,10.59663473,3.45,772,5,330,0.11,0,0,0,0,0,0,1
1,Other,0.087,63.32,11.15625052,6.07,712,7,5967,0.198,1,0,0,0,0,0,1
1,Other,0.1091,130.79,9.798127037,18.0,707,6,5533,0.7959999999999999,1,0,0,0,0,0,1
1,Home,0.0775,93.67,11.73606902,2.14,762,23,21050,0.01,0,0,0,0,0,0,1
1,Other,0.0775,93.67,10.81977828,5.35,762,23,21050,0.0069999999999999,0,0,0,0,0,0,1
1,Other,0.087,88.65,11.69524702,15.0,742,8,8155,0.149,1,0,0,0,0,0,1
1,Other,0.0964,128.41,11.51292546,15.0,722,8,8155,0.149,1,0,0,0,0,0,1
1,Home,0.087,94.98,11.03488966,12.23,737,7,3678,0.307,0,0,0,0,0,0,1
1,Debt_Consolidation,0.1217,179.8,10.46310334,7.1,662,8,2040,0.362,2,0,0,0,0,0,1
1,Other,0.1533,444.05,11.00209984,19.52,667,7,33074,0.688,2,0,0,0,0,0,1
1,Other,0.0775,124.89,11.03165864,3.46,747,7,1918,0.171,0,0,0,0,0,0,1
1,Other,0.1533,644.3,11.40756495,5.24,662,5,22379,0.622,0,0,0,0,0,0,1
1,Other,0.0964,642.02,11.47210347,2.86,737,6,10296,0.425,0,0,0,1,0,0,0
1,Other,0.1154,104.76,9.61580548,12.24,672,4,2867,0.551,3,0,0,1,0,0,0
1,Debt_Consolidation,0.1122,157.66,10.30895266,12.36,682,5,12310,0.861,0,0,0,0,0,0,1
1,Debt_Consolidation,0.087,383.87,11.91839057,4.8,767,37,61921,0.391,0,0,0,0,0,0,1
1,Other,0.1122,217.6,11.38509209,18.0,702,10,16738,0.261,2,0,0,0,0,0,1
1,Other,0.0807,297.99,11.05089001,3.49,792,16,40384,0.092,1,0,0,0,0,0,1
1,Debt_Consolidation,0.0775,156.11,10.71441777,5.0,762,6,1359,0.0559999999999999,2,0,0,0,0,0,1
1,Debt_Consolidation,0.1154,329.95,12.32385568,20.0,727,28,107501,0.4479999999999999,2,0,0,0,0,0,1
1,Other,0.0807,313.67,12.06104687,0.72,787,22,3054,0.0559999999999999,3,0,0,0,0,0,1
1,Other,0.0807,297.99,11.40756495,2.44,792,24,40384,0.096,0,0,0,0,0,0,1
1,Home,0.0933,239.65,11.44035477,9.66,792,12,128000,0.0,3,0,0,0,0,0,1
1,Debt_Consolidation,0.0712,61.87,11.6784399,0.43,772,16,4709,0.185,0,0,0,0,0,0,1
1,Other,0.1186,94.47,10.71441777,2.8,667,15,2850,0.75,0,1,0,0,1,0,1
1,Other,0.1501,73.68,11.47210347,16.89,702,11,51,0.0,0,0,0,1,0,0,0
1,Home,0.0807,313.67,11.91839057,5.84,792,15,37152,0.037,0,0,0,0,0,0,1
1,Debt_Consolidation,0.0933,543.2,11.22524339,9.55,762,16,3839,0.166,1,0,0,0,0,0,1
1,Home,0.0807,313.67,11.35040654,3.11,797,15,37152,0.037,0,0,0,0,0,0,1
1,Other,0.1217,266.37,11.15625052,10.2,672,10,26283,0.395,0,1,0,1,1,0,0
1,Debt_Consolidation,0.1028,210.6,10.71441777,5.87,692,5,5607,0.422,0,0,0,0,0,0,1
1,Other,0.1249,234.15,10.04324949,5.01,662,3,1061,0.8190000000000001,3,0,0,0,0,0,1
1,Debt_Consolidation,0.1028,323.99,11.69524702,14.4,722,13,56740,0.775,1,0,0,0,0,0,1
1,Other,0.1059,235.96,10.95080655,7.22,712,15,40598,0.773,1,0,0,0,0,0,1
1,Debt_Consolidation,0.1438,352.22,11.1844214,17.83,687,4,3815,0.065,1,0,0,0,0,0,1
1,Other,0.0743,117.31,11.69524702,0.0,772,11,0,0.0,1,0,0,0,0,0,1
1,Debt_Consolidation,0.0712,64.96,11.60823564,0.22,812,44,50,0.003,0,0,0,0,0,0,1
1,Other,0.1565,699.69,11.42954386,1.53,667,10,4569,0.564,1,0,0,0,0,0,1
1,Education,0.1059,195.27,9.852194258,8.15,692,8,8528,0.861,0,0,0,0,0,0,1
1,Other,0.1122,295.59,10.3859137,22.15,747,8,14345,0.4579999999999999,0,0,0,0,0,0,1
1,Other,0.1122,217.59,10.81977828,18.38,707,9,113,0.024,1,0,0,0,0,0,1
1,Debt_Consolidation,0.1375,263.09,11.03811028,9.8,677,8,12231,0.81,3,0,0,1,0,0,0
1,Debt_Consolidation,0.1467,248.43,10.95080655,20.76,667,10,13552,0.691,0,1,0,0,1,0,1
1,Other,0.1028,194.4,11.37710574,10.6,692,7,16813,0.639,0,0,0,0,0,0,1
1,Debt_Consolidation,0.1249,301.04,10.57131693,5.08,667,10,26233,0.629,3,0,1,1,0,1,0
1,Other,0.0743,163.92,11.35040654,2.64,782,25,5760,0.16,0,0,0,0,0,0,1
1,Other,0.1028,150.66,10.727663,3.26,687,18,105,0.35,1,1,0,1,1,0,0
1,Debt_Consolidation,0.1122,217.59,10.9525594,13.77,682,6,11490,0.957,0,0,0,0,0,0,1
1,Home,0.1312,85.23,10.59663473,20.67,692,14,17641,0.305,3,1,0,0,1,0,1
1,Other,0.1122,328.43,10.30895266,20.4,742,9,0,0.0,3,0,0,0,0,0,1
1,Other,0.0807,165.47,10.91508846,12.0,797,24,12430,0.192,1,0,0,0,0,0,1
1,Debt_Consolidation,0.1091,140.6,10.49127422,9.87,707,4,12323,0.44,0,0,0,0,0,0,1
1,Other,0.1028,98.01,11.40756495,9.13,697,9,38624,0.978,0,0,0,0,0,0,1
1,Other,0.1217,166.48,9.210340372,0.0,662,6,875,0.547,2,1,0,1,1,0,0
1,Other,0.1249,284.32,11.35040654,6.38,667,20,1196,0.12,3,4,0,0,1,0,1
1,Other,0.1438,194.15,13.08154138,2.4,697,8,26628,0.604,3,1,0,0,1,0,1
1,Other,0.1028,138.51,10.34174248,24.81,767,16,6752,0.246,2,0,0,0,0,0,1
1,Debt_Consolidation,0.1249,70.25,9.433483923,14.4,662,4,458,0.916,1,0,0,1,0,0,0
1,Other,0.0838,252.1,11.56171563,9.71,752,10,16786,0.447,0,0,0,0,0,0,1
1,Other,0.0901,263.19,11.69524702,12.16,742,27,7336,0.299,0,0,0,0,0,0,1
1,Other,0.0933,104.65,11.03488966,3.83,702,10,7089,0.419,1,0,0,0,0,0,1
1,Debt_Consolidation,0.0807,172.53,10.89673933,6.29,742,14,18388,0.6890000000000001,0,0,0,0,0,0,1
1,Other,0.0996,38.7,10.37349118,1.13,677,5,613,0.7659999999999999,2,0,0,0,0,0,1
1,Education,0.1249,100.35,10.2791805,12.77,662,3,566,0.515,3,1,0,1,1,0,0
1,Debt_Consolidation,0.128,335.98,10.50232405,18.92,682,6,9166,0.504,1,0,0,0,0,0,1
1,Other,0.1091,163.49,10.57131693,11.78,707,13,5406,0.3339999999999999,0,0,1,1,0,1,0
1,Other,0.0996,32.25,10.46310334,5.83,687,6,1188,0.03,2,0,0,1,0,0,0
1,Education,0.0996,96.75,9.798127037,15.4,707,31,12003,0.4039999999999999,1,0,0,0,0,0,1
1,Other,0.1059,72.42,11.00209984,8.14,707,13,20511,0.62,1,0,0,1,0,0,0
1,Other,0.0964,90.68,11.15625052,18.0,732,10,55720,0.1,2,0,0,0,0,0,1
1,Other,0.0807,259.58,10.79957558,9.89,772,27,7744,0.171,0,0,0,0,0,0,1
1,Other,0.0964,169.32,11.15625052,17.57,737,15,51761,0.38,1,0,0,0,0,0,1
1,Other,0.1154,205.4,10.71441777,17.76,717,4,579,0.2319999999999999,0,0,0,0,0,0,1
1,Debt_Consolidation,0.1312,162.01,11.35040654,16.87,707,25,34776,0.5429999999999999,0,0,0,1,0,0,0
1,Debt_Consolidation,0.1028,226.8,10.92233487,10.05,692,5,8047,0.3379999999999999,0,0,0,0,0,0,1
1,Other,0.1059,162.73,9.61580548,24.4,737,9,0,0.0,3,0,0,0,0,0,1
1,Debt_Consolidation,0.1154,158.38,10.1266311,18.19,672,7,409,0.818,0,1,0,0,1,0,1
1,Other,0.0901,795.11,10.95080655,8.93,822,27,185,0.005,0,0,0,0,0,0,1
1,Debt_Consolidation,0.0996,158.83,11.33857208,4.84,727,17,48251,0.501,2,0,0,0,0,0,1
1,Other,0.1028,97.2,10.54534144,19.93,687,7,772,0.965,0,0,0,0,0,0,1
1,Debt_Consolidation,0.1154,263.97,10.81977828,8.04,672,8,1019,0.045,1,1,0,0,1,0,1
1,Other,0.1091,404.62,10.75177778,16.39,692,15,8332,0.3989999999999999,2,0,0,0,0,0,1
1,Other,0.0775,307.53,11.15625052,9.09,797,17,1790,0.045,1,0,0,0,0,0,1
1,Debt_Consolidation,0.128,839.95,11.22524339,24.85,722,17,62739,0.747,3,0,0,1,0,0,0
1,Other,0.1059,269.31,11.59910316,24.01,767,13,29901,0.7120000000000001,2,0,0,1,0,0,0
1,Debt_Consolidation,0.1186,265.18,10.858999,11.31,667,4,5867,0.743,1,0,0,0,0,0,1
1,Home,0.0964,802.47,11.26446411,0.8,732,6,10605,0.221,1,0,0,0,0,0,1
1,Debt_Consolidation,0.1091,505.16,11.69524702,16.97,697,26,57196,0.445,3,0,0,1,0,0,0
1,Home,0.0901,318.05,12.52452638,2.97,712,13,481,0.802,2,0,0,1,0,0,0
1,Education,0.0838,315.12,10.30895266,4.2,737,4,2282,0.19,1,0,0,0,0,0,1
1,Other,0.1091,130.79,9.574983486,8.92,672,3,3614,0.613,1,0,0,0,0,0,1
1,Debt_Consolidation,0.1059,227.82,11.05879518,8.5,682,19,14930,0.79,1,0,1,0,0,1,1
1,Other,0.0996,643.36,11.66134547,13.07,727,29,33989,0.8290000000000001,0,0,0,0,0,0,1
1,Other,0.147,51.78,10.1266311,3.84,632,4,1238,0.619,1,1,0,0,1,0,1
1,Education,0.0901,572.48,10.62132735,15.37,747,21,4746,0.185,2,0,0,0,0,0,1
1,Other,0.0775,149.87,9.952277717,6.34,752,8,3470,0.255,0,0,0,0,0,0,1
1,Other,0.0996,96.75,11.03488966,11.98,682,5,12640,0.8320000000000001,0,0,0,0,0,0,1
1,Home,0.0712,92.8,11.44035477,0.0,812,23,368,0.012,0,0,0,0,0,0,1
1,Other,0.1091,192.09,11.09741002,19.82,677,12,30597,0.895,1,1,0,0,1,0,1
1,Other,0.1154,593.92,10.20359214,10.8,682,14,8537,0.755,0,0,0,0,0,0,1
1,Debt_Consolidation,0.1091,392.36,10.46310334,15.74,692,4,15649,0.545,2,0,0,0,0,0,1
1,Education,0.0775,156.11,10.858999,9.55,767,36,4067,0.073,0,0,0,0,0,0,1
1,Debt_Consolidation,0.1028,155.52,10.46310334,7.51,687,8,5836,0.687,0,0,1,0,0,1,1
1,Other,0.1028,485.99,11.38509209,11.95,702,14,24615,0.947,0,0,0,0,0,0,1
1,Other,0.1028,116.64,10.30895266,7.88,687,14,7600,0.7170000000000001,0,0,1,0,0,1,1
1,Debt_Consolidation,0.1122,223.34,10.83958091,18.68,682,5,9495,0.879,2,0,0,1,0,0,0
1,Other,0.0775,149.87,9.903487553,10.26,757,17,4921,0.304,0,0,0,0,0,0,1
1,Education,0.1154,211.17,11.46163217,1.83,667,9,11200,0.2319999999999999,1,0,0,0,0,0,1
1,Debt_Consolidation,0.0743,186.45,11.13730067,6.11,777,20,2444,0.0559999999999999,3,0,0,0,0,0,1
1,Debt_Consolidation,0.0933,790.86,11.00209984,0.82,767,6,916,0.068,0,0,0,0,0,0,1
1,Other,0.0901,795.11,13.33100224,3.83,782,10,148829,0.066,5,0,0,1,0,0,0
1,Other,0.087,126.65,10.69194491,18.71,747,10,3209,0.126,0,0,0,0,0,0,1
1,Other,0.1091,294.27,11.28978191,17.17,677,11,7570,0.823,0,0,0,0,0,0,1
1,Debt_Consolidation,0.1091,404.62,11.28978191,9.23,687,7,13126,0.965,0,0,1,0,0,1,1
1,Debt_Consolidation,0.1186,397.77,11.91839057,20.48,687,12,66654,0.516,1,0,0,0,0,0,1
1,Debt_Consolidation,0.0743,178.68,11.46163217,1.2,812,45,50,0.003,0,0,0,0,0,0,1
1,Education,0.1028,29.16,9.392661929,16.7,687,6,3084,0.6559999999999999,3,0,0,1,0,0,0
1,Other,0.0996,417.62,11.42954386,6.48,712,15,2598,0.238,1,0,0,0,0,0,1
1,Other,0.1059,130.18,11.03488966,17.81,682,17,18168,0.685,2,0,0,0,0,0,1
1,Other,0.1122,98.53,10.40134951,22.79,682,26,24218,0.853,2,0,0,0,0,0,1
1,Other,0.0807,15.69,9.798127037,4.27,722,4,0,0.0,0,0,0,0,0,0,1
1,Other,0.1091,523.14,12.20607265,10.7,697,20,72303,0.737,1,0,0,0,0,0,1
1,Other,0.087,557.23,11.9381932,0.12,757,3,1032,0.05,0,0,0,0,0,0,1
1,Other,0.1122,315.3,10.65725935,14.6,677,10,133,0.042,1,0,0,0,0,0,1
1,Debt_Consolidation,0.1154,527.93,10.70099475,12.16,682,6,34023,0.5770000000000001,1,2,0,1,1,0,0
1,Other,0.0743,93.23,11.1844214,11.18,757,12,12430,0.296,5,0,0,0,0,0,1
1,Debt_Consolidation,0.0775,202.94,10.77895629,13.53,787,28,10742,0.089,3,0,0,0,0,0,1
1,Debt_Consolidation,0.1186,165.74,10.59663473,7.02,667,8,2197,0.758,0,2,0,1,1,0,0
1,Other,0.1028,158.76,10.69194491,15.3,692,12,88,0.238,1,3,0,1,1,0,0
1,Debt_Consolidation,0.1028,485.99,10.81977828,11.88,702,19,13867,0.337,0,0,0,0,0,0,1
1,Other,0.0996,322.49,11.19134184,10.28,702,13,3943,0.986,3,0,0,1,0,0,0
1,Debt_Consolidation,0.087,189.97,10.08580911,19.45,757,11,5405,0.4,2,0,0,0,0,0,1
1,Debt_Consolidation,0.1217,376.24,10.42228135,23.96,712,8,12102,0.49,1,0,0,0,0,0,1
1,Debt_Consolidation,0.1217,599.33,11.61045137,18.3,682,12,18076,0.8140000000000001,1,0,0,0,0,0,1
1,Debt_Consolidation,0.1217,132.35,10.20359214,23.2,702,14,4504,0.392,1,0,0,1,0,0,0
1,Other,0.1186,828.69,10.858999,9.74,712,13,25852,0.605,0,0,0,0,0,0,1
1,Other,0.1091,604.88,10.858999,17.56,707,22,32438,0.43,0,1,0,0,1,0,1
1,Debt_Consolidation,0.087,538.23,10.93131966,11.51,747,17,20380,0.481,2,0,0,0,0,0,1
1,Other,0.0933,172.55,10.6454249,16.09,707,6,38054,0.612,0,0,0,0,0,0,1
1,Other,0.1091,604.88,10.49127422,4.67,697,4,25,0.002,2,0,0,0,0,0,1
1,Other,0.0996,290.24,10.54534144,3.38,697,5,3305,0.551,2,0,0,0,0,0,1
1,Other,0.1186,530.36,11.36674295,15.1,682,11,348,0.048,0,0,0,1,0,0,0
1,Other,0.087,158.31,10.08580911,6.15,722,4,3015,0.253,0,0,0,0,0,0,1
1,Debt_Consolidation,0.1059,390.54,10.30895266,19.84,702,6,7336,0.7190000000000001,1,0,0,0,0,0,1
1,Other,0.1249,301.04,10.858999,4.98,662,18,8644,0.726,1,0,0,0,0,0,1
1,Other,0.1154,659.91,11.47210347,17.81,707,10,93,0.0,2,0,0,1,0,0,0
1,Other,0.0743,217.52,10.66895539,1.65,777,8,2698,0.095,0,0,0,0,0,0,1
1,Home,0.1028,388.79,11.48246626,5.58,697,13,19009,0.3,0,0,0,0,0,0,1
1,Other,0.087,158.31,10.77895629,0.38,717,35,498,0.073,2,1,0,0,1,0,1
1,Debt_Consolidation,0.1217,319.64,11.00209984,19.28,672,13,10358,0.917,2,0,1,1,0,1,0
1,Other,0.1028,103.68,11.22524339,9.7,682,35,2105,0.4529999999999999,0,3,0,0,1,0,1
1,Home,0.0964,154.08,11.00209984,12.94,697,8,2822,0.099,3,0,0,0,0,0,1
1,Debt_Consolidation,0.1059,650.9,11.58988651,11.96,707,14,21004,0.977,0,0,0,0,0,0,1
1,Other,0.1375,81.74,10.75790288,24.08,667,8,11675,0.758,1,0,0,0,0,0,1
1,Other,0.0901,238.54,9.875088078,10.37,712,3,3933,0.437,0,0,0,0,0,0,1
1,Debt_Consolidation,0.128,335.98,10.98189713,7.51,662,11,7251,0.8059999999999999,3,0,2,0,0,1,1
1,Other,0.1217,93.23,10.71441777,19.19,692,12,88,0.44,1,3,0,1,1,0,0
1,Other,0.0933,95.87,10.50780352,2.69,697,13,1492,0.332,2,0,0,0,0,0,1
1,Debt_Consolidation,0.0996,95.94,10.1266311,14.16,692,5,7121,0.337,0,0,0,0,0,0,1
1,Debt_Consolidation,0.128,554.37,11.03488966,19.22,677,8,17641,0.695,2,0,0,0,0,0,1
1,Other,0.1438,859.07,11.28978191,20.79,682,8,30946,0.615,3,0,0,1,0,0,0
1,Other,0.0838,472.68,11.2515607,7.96,772,16,0,0.0,0,0,0,0,0,0,1
1,Other,0.1091,586.9,11.22524339,10.34,697,7,23391,0.907,1,0,0,0,0,0,1
1,Other,0.0964,224.69,9.878169745,21.23,772,16,16324,0.48,0,0,0,0,0,0,1
1,Debt_Consolidation,0.128,483.81,10.49460201,8.47,662,7,7104,0.935,2,0,0,1,0,0,0
1,Debt_Consolidation,0.1217,399.55,10.08580911,14.5,672,5,9273,0.439,0,0,0,0,0,0,1
1,Debt_Consolidation,0.1186,232.04,10.82774645,17.02,672,12,6718,0.946,3,0,0,0,0,0,1
1,Other,0.0964,802.47,11.22524339,17.06,767,16,12017,0.121,4,0,0,1,0,0,0
1,Debt_Consolidation,0.1091,304.9,11.16368368,18.96,692,15,5749,0.432,1,1,0,0,1,0,1
1,Other,0.1249,836.23,11.27545477,7.99,692,13,6530,0.218,0,1,0,0,1,0,1
1,Other,0.0775,124.89,10.08580911,6.0,752,7,2666,0.121,0,0,0,0,0,0,1
1,Other,0.1028,113.4,10.77895629,17.65,687,6,3761,0.5539999999999999,2,0,0,0,0,0,1
1,Other,0.1407,842.47,11.69524702,12.81,677,15,33698,0.913,0,0,0,0,0,0,1
1,Debt_Consolidation,0.1091,817.41,11.19821472,22.13,737,27,3472,0.045,1,0,0,1,0,0,0
1,Debt_Consolidation,0.1596,421.65,10.46287474,20.82,667,18,14534,0.489,3,1,0,0,1,0,1
1,Education,0.0933,575.17,11.00209984,9.96,732,7,6703,0.475,1,0,0,0,0,0,1
1,Other,0.1312,405.03,11.56171563,18.25,667,12,5861,0.5379999999999999,2,0,0,0,0,0,1
1,Debt_Consolidation,0.128,167.99,10.14564911,18.65,662,4,5061,0.723,0,1,0,0,1,0,1
1,Debt_Consolidation,0.0996,677.22,10.89857098,3.77,722,17,16888,0.395,0,0,0,0,0,0,1
1,Other,0.1154,131.99,10.83863929,9.14,667,11,463,0.926,0,0,0,0,0,0,1
1,Debt_Consolidation,0.0933,281.2,10.1266311,0.0,712,9,0,0.0,0,1,0,0,1,0,1
1,Debt_Consolidation,0.0964,802.47,10.77895629,9.78,742,7,8283,0.127,4,0,0,0,0,0,1
1,Other,0.1091,505.16,11.61728548,10.86,687,9,46525,0.936,0,0,0,0,0,0,1
1,Home,0.0743,180.23,10.62861778,2.32,772,7,2650,0.066,0,0,0,0,0,0,1
1,Other,0.0933,798.84,11.51292546,1.57,762,17,17,0.001,5,0,0,1,0,0,0
1,Other,0.0933,319.54,10.50506754,19.46,727,12,827,0.066,2,0,0,1,0,0,0
1,Debt_Consolidation,0.0964,32.1,8.517193191,18.0,702,3,961,0.26,2,0,0,0,0,0,1
1,Debt_Consolidation,0.0964,192.6,9.798127037,2.87,697,3,1554,0.293,1,0,0,0,0,0,1
